"protein_name","CellType","enriched"
"agrn","Cholangiocytes","Cholangiocyte-enriched"
"tnfrsf4","Periportal_LSECs","EC-enriched"
"cptp","Hepatocyte_4","Hepatocyte-enriched"
"mxra8","Hepatic_Stellate_Cells","Stellate cells-enriched"
"vwa1","Hepatocyte_3","Hepatocyte-enriched"
"nadk","Hepatocyte_3","Hepatocyte-enriched"
"tnfrsf14","gamma-delta_T_Cells_1","Immune-enriched"
"tp73","Plasma_Cells","Immune-enriched"
"per3","Hepatocyte_2","Hepatocyte-enriched"
"tnfrsf9","alpha-beta_T_Cells","Immune-enriched"
"park7","Hepatocyte_6","Hepatocyte-enriched"
"eno1","Hepatocyte_6","Hepatocyte-enriched"
"clstn1","Central_venous_LSECs","EC-enriched"
"nmnat1","Hepatocyte_2","Hepatocyte-enriched"
"rbp7","Non-inflammatory_Macrophage","Immune-enriched"
"pgd","Inflammatory_Macrophage","Immune-enriched"
"dffa","Hepatocyte_1","Hepatocyte-enriched"
"exosc10","gamma-delta_T_Cells_2","Immune-enriched"
"draxin","gamma-delta_T_Cells_1","Immune-enriched"
"kiaa2013","Hepatocyte_4","Hepatocyte-enriched"
"tnfrsf8","Inflammatory_Macrophage","Immune-enriched"
"tnfrsf1b","Inflammatory_Macrophage","Immune-enriched"
"kazn","Central_venous_LSECs","EC-enriched"
"casp9","Hepatocyte_6","Hepatocyte-enriched"
"ddi2","Erythroid_Cells","Immune-enriched"
"zbtb17","Mature_B_Cells","Immune-enriched"
"epha2","Hepatocyte_4","Hepatocyte-enriched"
"necap2","Central_venous_LSECs","EC-enriched"
"sdhb","Hepatocyte_6","Hepatocyte-enriched"
"padi2","Inflammatory_Macrophage","Immune-enriched"
"padi4","Inflammatory_Macrophage","Immune-enriched"
"igsf21","Non-inflammatory_Macrophage","Immune-enriched"
"nbl1","Portal_endothelial_Cells","EC-enriched"
"pla2g2a","Hepatocyte_3","Hepatocyte-enriched"
"cda","Hepatocyte_6","Hepatocyte-enriched"
"eif4g3","Periportal_LSECs","EC-enriched"
"ece1","Central_venous_LSECs","EC-enriched"
"hspg2","Portal_endothelial_Cells","EC-enriched"
"c1qa","Non-inflammatory_Macrophage","Immune-enriched"
"pithd1","Erythroid_Cells","Immune-enriched"
"lypla2","Hepatocyte_4","Hepatocyte-enriched"
"hmgcl","Hepatocyte_6","Hepatocyte-enriched"
"fuca1","Non-inflammatory_Macrophage","Immune-enriched"
"il22ra1","Hepatocyte_3","Hepatocyte-enriched"
"ifnlr1","Hepatocyte_4","Hepatocyte-enriched"
"ldlrap1","Hepatocyte_4","Hepatocyte-enriched"
"pafah2","gamma-delta_T_Cells_1","Immune-enriched"
"cep85","Erythroid_Cells","Immune-enriched"
"nudc","Hepatocyte_6","Hepatocyte-enriched"
"cd164l2","Portal_endothelial_Cells","EC-enriched"
"fgr","gamma-delta_T_Cells_1","Immune-enriched"
"rpa2","NK-like_Cells","Immune-enriched"
"smpdl3b","NK-like_Cells","Immune-enriched"
"med18","Erythroid_Cells","Immune-enriched"
"rcc1","gamma-delta_T_Cells_2","Immune-enriched"
"mecr","Hepatocyte_1","Hepatocyte-enriched"
"fabp3","Non-inflammatory_Macrophage","Immune-enriched"
"tinagl1","Central_venous_LSECs","EC-enriched"
"txlna","Hepatocyte_4","Hepatocyte-enriched"
"ak2","Hepatocyte_6","Hepatocyte-enriched"
"clspn","gamma-delta_T_Cells_2","Immune-enriched"
"thrap3","gamma-delta_T_Cells_1","Immune-enriched"
"csf3r","Inflammatory_Macrophage","Immune-enriched"
"maneal","Hepatocyte_2","Hepatocyte-enriched"
"ppie","NK-like_Cells","Immune-enriched"
"ppt1","Non-inflammatory_Macrophage","Immune-enriched"
"col9a2","Cholangiocytes","Cholangiocyte-enriched"
"foxj3","Erythroid_Cells","Immune-enriched"
"ermap","Erythroid_Cells","Immune-enriched"
"tie1","Central_venous_LSECs","EC-enriched"
"ptprf","Hepatocyte_3","Hepatocyte-enriched"
"urod","Erythroid_Cells","Immune-enriched"
"prdx1","Hepatocyte_6","Hepatocyte-enriched"
"tspan1","Hepatocyte_6","Hepatocyte-enriched"
"efcab14","Non-inflammatory_Macrophage","Immune-enriched"
"elavl4","Non-inflammatory_Macrophage","Immune-enriched"
"scp2","Hepatocyte_6","Hepatocyte-enriched"
"pcsk9","Hepatocyte_3","Hepatocyte-enriched"
"c8b","Hepatocyte_3","Hepatocyte-enriched"
"tacstd2","Cholangiocytes","Cholangiocyte-enriched"
"jun","alpha-beta_T_Cells","Immune-enriched"
"angptl3","Hepatocyte_6","Hepatocyte-enriched"
"ror1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"dnajc6","Erythroid_Cells","Immune-enriched"
"lepr","Hepatocyte_3","Hepatocyte-enriched"
"il12rb2","NK-like_Cells","Immune-enriched"
"acadm","Hepatocyte_6","Hepatocyte-enriched"
"nexn","Hepatic_Stellate_Cells","Stellate cells-enriched"
"gipc2","Hepatocyte_1","Hepatocyte-enriched"
"ctbs","Non-inflammatory_Macrophage","Immune-enriched"
"ddah1","Hepatocyte_2","Hepatocyte-enriched"
"col24a1","Plasma_Cells","Immune-enriched"
"gbp1","Hepatocyte_4","Hepatocyte-enriched"
"gbp2","Non-inflammatory_Macrophage","Immune-enriched"
"gbp4","Portal_endothelial_Cells","EC-enriched"
"gbp6","Hepatocyte_4","Hepatocyte-enriched"
"tgfbr3","Central_venous_LSECs","EC-enriched"
"brdt","alpha-beta_T_Cells","Immune-enriched"
"evi5","Hepatic_Stellate_Cells","Stellate cells-enriched"
"gclm","Erythroid_Cells","Immune-enriched"
"f3","Hepatic_Stellate_Cells","Stellate cells-enriched"
"vcam1","Non-inflammatory_Macrophage","Immune-enriched"
"amy2b","Hepatocyte_5","Hepatocyte-enriched"
"vav3","gamma-delta_T_Cells_1","Immune-enriched"
"stxbp3","Non-inflammatory_Macrophage","Immune-enriched"
"celsr2","Hepatocyte_4","Hepatocyte-enriched"
"psrc1","gamma-delta_T_Cells_2","Immune-enriched"
"sort1","Hepatocyte_4","Hepatocyte-enriched"
"amigo1","alpha-beta_T_Cells","Immune-enriched"
"gstm4","Hepatocyte_3","Hepatocyte-enriched"
"csf1","Central_venous_LSECs","EC-enriched"
"kcnc4","Central_venous_LSECs","EC-enriched"
"lamtor5","Hepatocyte_6","Hepatocyte-enriched"
"rap1a","Non-inflammatory_Macrophage","Immune-enriched"
"rhoc","Central_venous_LSECs","EC-enriched"
"slc16a1","Hepatocyte_1","Hepatocyte-enriched"
"bcl2l15","gamma-delta_T_Cells_1","Immune-enriched"
