"protein_name","mri_beta","mri_p","mri_adj_p_sig","ct1_beta","ct_p","ct_adj_p_sig","sig_both","estimate_pnpla3","p.value_pnpla3","pro_sig","estimate_tm6sf2","estimate_hsd17b13","p.value_tm6sf2","p.value_hsd17b13","t_sig","h_sig","gene_description","Liver","Expression_Category","level","estimate_hcc","p.value_hcc","estimate_cirr","p.value_cirr","CellType","enriched","estimate_bmi","p.value_bmi","estimate_alc","p.value_alc"
"a1bg",1.06617142410151,4.21185069275896e-32,"yes",0.879739944250725,1.42347449881482e-17,"yes","yes",-0.0592718693178217,0.00010726549114658,"no",-0.0297861606770665,-0.00553976857694631,0.00219391343445323,0.735570812021167,"no","no","The protein encoded by this gene is a plasma glycoprotein of unknown function.
The protein shows sequence similarity to the variable regions of some immunoglobulin supergene family member proteins.
[provided by RefSeq,
Jul 2008].
 Publication Note:  This RefSeq record includes a subset of the publications that are available for this gene.
Please see the Gene record to access additional publications.
 Evidence Data: Transcript exon combination: AB073611.1,
EU794585.1 [ECO:0000332]; RNAseq introns: single sample supports all introns SAMEA2162895,
SAMN04284274 [ECO:0000348].
 RefSeq Attributes: MANE Ensembl match: ENST00000263100.8/ ENSP00000263100.2; RefSeq Select criteria: based on single protein-coding transcript.",395.905,"Broadly expressed","medium-high",0.964075667091873,0.172453465036309,1.99763344144601,1.84901585472809e-07,"Hepatocyte_4","Hepatocyte-enriched",3.96547009974628,7.25645507672654e-222,-0.130950405672645,1.42625077682294e-05
"aamdc",0.213109245151666,4.97034577143976e-13,"yes",0.126940974990571,0.000120163010968636,"no","no",-0.00496100796985284,0.3320166069951,"no",-0.00266032860813398,-0.00422376149379771,0.414298015039778,0.441345761975252,"no","no","",3.39078,"Broadly expressed","low",-0.400241791946132,0.0877421065795934,-0.207003736840076,0.111319651338232,"Hepatocyte_6","Hepatocyte-enriched",0.738962558431661,1.12844559264968e-69,-0.0170945656373747,0.0882586877738961
"aarsd1",0.138311411584798,8.81961755728529e-11,"yes",0.0359219453142687,0.133466592338596,"no","no",-0.000765041973008634,0.851022419127516,"no",0.00113079146652409,0.00182737954945583,0.663173383855762,0.67539162175315,"no","no","",16.6652,"Broadly expressed","medium-low",-0.0595584358974832,0.742962412307926,0.0731573883245821,0.477265104135579,"Mature_B_Cells","Immune-enriched",0.311783970574244,8.10784166226665e-21,-0.0852467782145146,8.30627786141859e-27
"abca2",0.142840419273089,0.000903137984270539,"no",0.162530799982988,0.000736840976144726,"no","no",-0.00627322765558572,0.408750931410672,"no",0.00237898985312057,0.00308327251097243,0.621926320708317,0.704904391691821,"no","no","The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters.
ABC proteins transport various molecules across extra- and intracellular membranes.
ABC genes are divided into seven distinct subfamilies (ABC1,
MDR/TAP,
MRP,
ALD,
OABP,
GCN20,
White).
This protein is a member of the ABC1 subfamily.
Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes.
This protein is highly expressed in brain tissue and may play a role in macrophage lipid metabolism and neural development.
Two transcript variants encoding different isoforms have been found for this gene.
[provided by RefSeq,
Jul 2008].",13.0066,"Broadly expressed","medium-low",0.86870240786694,5.18305139769586e-05,1.00975421774344,1.17095740459082e-23,"Erythroid_Cells","Immune-enriched",1.00436047299316,1.95520431458797e-58,0.0393279290133225,0.00852352988530557
"abhd14b",0.0919417805298396,9.33979219975133e-06,"yes",0.0546928208398113,0.0188689645997794,"no","no",-0.007014385289109,0.082050187237063,"no",-0.000532093354166921,-0.00195247379283633,0.835853002509546,0.651424650280885,"no","no","",73.7427,"Broadly expressed","medium-low",-0.330076915718128,0.0783637420974583,-0.162304457196268,0.126012870138444,"Hepatocyte_6","Hepatocyte-enriched",0.438178382088742,1.6588249800186e-40,-0.0438077378168406,2.46102204918881e-08
"abl1",0.157158570209774,2.15759842811502e-19,"yes",0.126241374238931,1.09304486248813e-10,"yes","yes",-0.00502317890378276,0.133524630304532,"no",-0.000955395824547958,0.00453155925183888,0.654367312665575,0.206433398162405,"no","no","This gene is a protooncogene that encodes a protein tyrosine kinase involved in a variety of cellular processes,
including cell division,
adhesion,
differentiation,
and response to stress.
The activity of the protein is negatively regulated by its SH3 domain,
whereby deletion of the region encoding this domain results in an oncogene.
The ubiquitously expressed protein has DNA-binding activity that is regulated by CDC2-mediated phosphorylation,
suggesting a cell cycle function.
This gene has been found fused to a variety of translocation partner genes in various leukemias,
most notably the t(9;22) translocation that results in a fusion with the 5' end of the breakpoint cluster region gene (BCR; MIM:151410).
Alternative splicing of this gene results in two transcript variants,
which contain alternative first exons that are spliced to the remaining common exons.
[provided by RefSeq,
Aug 2014].",9.22794,"Broadly expressed","low",-0.0887546166426579,0.564243544023303,-0.0359044757014709,0.678742106397328,"Hepatic_Stellate_Cells","Stellate cells-enriched",0.728454677183812,4.72581093829794e-157,-0.0632493358427405,3.33113941203864e-22
"abo",-0.00886717690798554,0.404615065560476,"no",0.0277987339952756,0.0205686158697468,"no","no",0.00249575615949904,0.178630072775779,"no",-0.00101968414352511,-0.00163289889017723,0.38719584078661,0.411449334591023,"no","no","This gene encodes proteins related to the first discovered blood group system,
ABO.
Variation in the ABO gene (chromosome 9q34.2) is the basis of the ABO blood group,
thus the presence of an allele determines the blood group in an individual.
The 'O' blood group is caused by a deletion of guanine-258 near the N-terminus of the protein which results in a frameshift and translation of an almost entirely different protein.
Individuals with the A,
B,
and AB alleles express glycosyltransferase activities that convert the H antigen into the A or B antigen.
Other minor alleles have been found for this gene.
[provided by RefSeq,
Apr 2022].
 Sequence Note: This RefSeq record represents the ABO*A1.01 allele.
 Publication Note:  This RefSeq record includes a subset of the publications that are available for this gene.
Please see the Gene record to access additional publications.
 Evidence Data: CDS exon combination: JX519570.1,
JX519569.1 [ECO:0000331].
 RefSeq Attributes: coronavirus related: locus in the vicinity of disease-associated variant(s); RefSeq Select criteria: based on manual assertion,
conservation,
expression,
longest protein.",0.145468,"Not expressed in liver","not expressed",0.018319255698036,0.823167982322426,0.0844200803036657,0.0658317158218842,"Portal_endothelial_Cells","EC-enriched",-0.0106017586617754,0.485825366661973,-0.00338297401663389,0.353418954987085
"abraxas2",0.116415013894465,1.39634656260991e-06,"yes",0.074753098684813,0.00607902693511567,"no","no",-0.00524753028865617,0.202455295422627,"no",0.00114945735431773,0.00255668920067918,0.660321454193636,0.562438968776031,"no","no","",-9,"Not available","Not available",-0.0557492749239491,0.763496836261034,-0.033053924708942,0.7508213613692,NA,NA,0.42253754307504,7.06176729189932e-36,-0.0622598814705526,1.86592771285408e-14
"acaa1",0.184821055340155,1.18383419920236e-34,"yes",0.129997366269354,2.34659963682821e-14,"yes","yes",0.0141340191762165,5.35426383652709e-07,"yes",0.00588420681160107,-0.00910277432843084,0.00106052672634783,0.00258033257818699,"no","no","This gene encodes an enzyme operative in the beta-oxidation system of the peroxisomes.
Deficiency of this enzyme leads to pseudo-Zellweger syndrome.
Alternative splicing results in multiple transcript variants.
[provided by RefSeq,
Jul 2008].",182.957,"Broadly expressed","medium-high",0.769939412488975,1.08267676495941e-19,0.883617387180827,2.46735319633295e-101,"Hepatocyte_6","Hepatocyte-enriched",0.918672788707955,4.74303020007597e-322,0.0501066505237428,1.76052819702509e-19
"acadm",0.0490134901054866,0.0374734968808082,"no",0.0439286214256068,0.0887129211120846,"no","no",-0.00131957051659908,0.734334649989607,"no",-0.00201085036671177,-0.01174319948688,0.416644030397288,0.00479710874679529,"no","no","This gene encodes the medium-chain specific (C4 to C12 straight chain) acyl-Coenzyme A dehydrogenase.
The homotetramer enzyme catalyzes the initial step of the mitochondrial fatty acid beta-oxidation pathway.
Defects in this gene cause medium-chain acyl-CoA dehydrogenase deficiency,
a disease characterized by hepatic dysfunction,
fasting hypoglycemia,
and encephalopathy,
which can result in infantile death.
Alternatively spliced transcript variants encoding different isoforms have been found for this gene.
[provided by RefSeq,
Jul 2008].",53.2279,"Broadly expressed","medium-low",0.154626407189631,0.280011224276948,0.184238156094091,0.0170543635461511,"Hepatocyte_6","Hepatocyte-enriched",0.136210712754329,1.87667919564186e-05,0.000777714652614653,0.918776852611445
