"protein_name","mri_beta","mri_p","mri_adj_p_sig","ct1_beta","ct_p","ct_adj_p_sig","sig_both","estimate_pnpla3","p.value_pnpla3","pro_sig","estimate_tm6sf2","estimate_hsd17b13","p.value_tm6sf2","p.value_hsd17b13","t_sig","h_sig","gene_description","Liver","Expression_Category","level","estimate_hcc","p.value_hcc","estimate_cirr","p.value_cirr","CellType","enriched","estimate_bmi","p.value_bmi","estimate_alc","p.value_alc"
"a1bg",0.0851326035467516,5.69705722177808e-13,"yes",0.0654432424506198,8.80061948456444e-07,"yes","yes",-0.0076583258623856,0.00327258795748618,"no",-0.00279985554240963,-0.00183259172176727,0.0912180189871617,0.510867094062589,"no","no","The protein encoded by this gene is a plasma glycoprotein of unknown function.
The protein shows sequence similarity to the variable regions of some immunoglobulin supergene family member proteins.
[provided by RefSeq,
Jul 2008].
 Publication Note:  This RefSeq record includes a subset of the publications that are available for this gene.
Please see the Gene record to access additional publications.
 Evidence Data: Transcript exon combination: AB073611.1,
EU794585.1 [ECO:0000332]; RNAseq introns: single sample supports all introns SAMEA2162895,
SAMN04284274 [ECO:0000348].
 RefSeq Attributes: MANE Ensembl match: ENST00000263100.8/ ENSP00000263100.2; RefSeq Select criteria: based on single protein-coding transcript.",395.905,"Broadly expressed","medium-high",0.167721352766247,0.131635582677044,0.159307330386137,0.0117736401335458,"Hepatocyte_4","Hepatocyte-enriched",0.499127963757866,2.35567979333168e-122,-0.0146045403247073,0.00360643140246316
"aamdc",0.0553516295878832,4.40126889304452e-06,"yes",0.0303789840616936,0.0251771850750217,"no","no",-0.00271718155955387,0.286989945370211,"no",-0.00106916651789721,-0.0015947422068742,0.51043341840478,0.559313625709618,"no","no","",3.39078,"Broadly expressed","low",-0.0265665800738162,0.811378460806658,-0.0797877079004585,0.214234657938391,"Hepatocyte_6","Hepatocyte-enriched",0.287374096134033,2.77499630080251e-43,-0.00601408137749649,0.228232423762015
"aarsd1",0.0814303328574794,1.34384786964989e-09,"yes",0.0259102829506788,0.0871050010523335,"no","no",-0.000654007281745299,0.8000042828695,"no",0.000297807897563217,0.00119432638705278,0.856189913625401,0.665556263251612,"no","no","",16.6652,"Broadly expressed","medium-low",0.041709250386908,0.713416084379951,0.0564689693581562,0.389237495719327,"Mature_B_Cells","Immune-enriched",0.198170541319048,5.71993556593956e-21,-0.0489474425528677,3.75625412354575e-22
"abca2",0.0355592890611251,0.00346962773448829,"no",0.0314490675036042,0.0205384521805779,"no","no",-0.000137637375173575,0.957193070225668,"no",0.00266452319287258,0.000694245284032713,0.102590563491124,0.800299123767517,"no","no","The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters.
ABC proteins transport various molecules across extra- and intracellular membranes.
ABC genes are divided into seven distinct subfamilies (ABC1,
MDR/TAP,
MRP,
ALD,
OABP,
GCN20,
White).
This protein is a member of the ABC1 subfamily.
Members of the ABC1 subfamily comprise the only major ABC subfamily found exclusively in multicellular eukaryotes.
This protein is highly expressed in brain tissue and may play a role in macrophage lipid metabolism and neural development.
Two transcript variants encoding different isoforms have been found for this gene.
[provided by RefSeq,
Jul 2008].",13.0066,"Broadly expressed","medium-low",0.362761191786677,0.00151221836146592,0.361008399206341,3.3490479657651e-08,"Erythroid_Cells","Immune-enriched",0.266841638195989,3.23702890939068e-37,0.0118440790384058,0.0178102409085503
"abhd14b",0.056971405708895,1.51015859595667e-05,"yes",0.0293917944582547,0.0478648273845566,"no","no",-0.00406962837867069,0.111451987677493,"no",-0.000490866376124856,-0.000804376747003052,0.762959734297122,0.768806327837356,"no","no","",73.7427,"Broadly expressed","medium-low",-0.0258080500846654,0.818903073548465,-0.00475339850343612,0.941571932003108,"Hepatocyte_6","Hepatocyte-enriched",0.279744867007074,5.79708502229505e-41,-0.0253841659243302,3.72403669154759e-07
"abl1",0.118628832863495,7.85196283470477e-20,"yes",0.0951492493328119,1.0305155451943e-10,"yes","yes",-0.0024818464585264,0.3313633076459,"no",-0.000928726894123119,0.00266055957775143,0.567979656790164,0.330594218190393,"no","no","This gene is a protooncogene that encodes a protein tyrosine kinase involved in a variety of cellular processes,
including cell division,
adhesion,
differentiation,
and response to stress.
The activity of the protein is negatively regulated by its SH3 domain,
whereby deletion of the region encoding this domain results in an oncogene.
The ubiquitously expressed protein has DNA-binding activity that is regulated by CDC2-mediated phosphorylation,
suggesting a cell cycle function.
This gene has been found fused to a variety of translocation partner genes in various leukemias,
most notably the t(9;22) translocation that results in a fusion with the 5' end of the breakpoint cluster region gene (BCR; MIM:151410).
Alternative splicing of this gene results in two transcript variants,
which contain alternative first exons that are spliced to the remaining common exons.
[provided by RefSeq,
Aug 2014].",9.22794,"Broadly expressed","low",0.016580058105941,0.882419500249291,0.013443534729501,0.834794563444378,"Hepatic_Stellate_Cells","Stellate cells-enriched",0.55622992215915,1.89842349161025e-157,-0.0425328146939455,1.15540673520536e-17
"abo",0.00430990702756632,0.724143340583239,"no",0.0230872820607587,0.0919294118018935,"no","no",0.00185024095443487,0.468040869278707,"no",-0.000569788678895998,-0.00253810338572142,0.725540867322175,0.352336924393774,"no","no","This gene encodes proteins related to the first discovered blood group system,
ABO.
Variation in the ABO gene (chromosome 9q34.2) is the basis of the ABO blood group,
thus the presence of an allele determines the blood group in an individual.
The 'O' blood group is caused by a deletion of guanine-258 near the N-terminus of the protein which results in a frameshift and translation of an almost entirely different protein.
Individuals with the A,
B,
and AB alleles express glycosyltransferase activities that convert the H antigen into the A or B antigen.
Other minor alleles have been found for this gene.
[provided by RefSeq,
Apr 2022].
 Sequence Note: This RefSeq record represents the ABO*A1.01 allele.
 Publication Note:  This RefSeq record includes a subset of the publications that are available for this gene.
Please see the Gene record to access additional publications.
 Evidence Data: CDS exon combination: JX519570.1,
JX519569.1 [ECO:0000331].
 RefSeq Attributes: coronavirus related: locus in the vicinity of disease-associated variant(s); RefSeq Select criteria: based on manual assertion,
conservation,
expression,
longest protein.",0.145468,"Not expressed in liver","not expressed",0.0806969937313724,0.464616027155696,0.0375725305407934,0.55395617376201,"Portal_endothelial_Cells","EC-enriched",0.00778050821353381,0.708839533588199,-0.00409620339359763,0.410646959356513
"abraxas2",0.0423621819423961,0.00053809025401604,"no",0.0233182763434347,0.0907032185667132,"no","no",-0.00221510678586907,0.385452747083491,"no",0.00163335418774669,0.000831495448829883,0.314732103521486,0.760834822252892,"no","no","",-9,"Not available","Not available",0.0671109358756797,0.54484026666016,-0.00338806304393686,0.957800827763435,NA,NA,0.208470819871856,1.50292241902349e-23,-0.0288005826277736,7.68768265430708e-09
"acaa1",0.154440518289759,7.49151189598091e-32,"yes",0.111784545095965,5.63581217695046e-14,"yes","yes",0.00937642136447843,0.000249508252694733,"no",0.00320267714943366,-0.00418682009859164,0.0493807504799761,0.126510409136146,"no","no","This gene encodes an enzyme operative in the beta-oxidation system of the peroxisomes.
Deficiency of this enzyme leads to pseudo-Zellweger syndrome.
Alternative splicing results in multiple transcript variants.
[provided by RefSeq,
Jul 2008].",182.957,"Broadly expressed","medium-high",0.743222008937612,2.62054526586087e-11,0.85314450127738,3.84877576402206e-40,"Hepatocyte_6","Hepatocyte-enriched",0.742163075013572,9.72794003299933e-279,0.0350562526855746,2.66554515945662e-12
"acadm",0.0315805053066959,0.00971062650249544,"no",0.029188070870155,0.0340619839597709,"no","no",-0.00203564706068779,0.424451243602979,"no",-2.62655375915646e-05,-0.00416975903285618,0.987083021912511,0.126357701188138,"no","no","This gene encodes the medium-chain specific (C4 to C12 straight chain) acyl-Coenzyme A dehydrogenase.
The homotetramer enzyme catalyzes the initial step of the mitochondrial fatty acid beta-oxidation pathway.
Defects in this gene cause medium-chain acyl-CoA dehydrogenase deficiency,
a disease characterized by hepatic dysfunction,
fasting hypoglycemia,
and encephalopathy,
which can result in infantile death.
Alternatively spliced transcript variants encoding different isoforms have been found for this gene.
[provided by RefSeq,
Jul 2008].",53.2279,"Broadly expressed","medium-low",0.228958718372897,0.037431946751696,0.137620178544124,0.0298705573128582,"Hepatocyte_6","Hepatocyte-enriched",0.151687289233105,3.24472944907744e-13,-0.00338349224696013,0.495265258072563
